Z:\GLBRC SERIES 2 042111B\GLBRC SERIES 2 042111 2011-04-22 10-30-13\BLKA.D,,,,,
GLBRC Series 2 2011,,,,,
All Values in PPM,,NA=invalid data,,,CH4 corrected to Air
Sample,,,,,
,N20,CO2,CH4,,
1,0.334,440.9,2.409,,
2,0.349,487.8,2.421,,
3,0.344,516.7,2.453,,
4,0.352,565.8,2.474,,
5,0.344,439.5,2.418,,
6,0.348,452.2,2.379,,
7,0.351,499.9,2.345,,
8,0.362,521.8,2.344,,
9,0.339,424.7,2.412,,
10,0.351,468.2,2.345,,
11,0.344,498.4,2.412,,
12,0.359,548.2,2.208,,
13,0.336,424.1,2.327,,
14,0.361,502.8,2.426,,
15,0.344,543.1,2.339,,
16,0.361,604.0,2.304,,
17,0.335,434.5,2.239,,
18,0.349,435.4,2.113,,
19,0.347,473.7,2.039,,
20,0.362,521.5,1.988,,
CHK1,0.120,143.6,2.101,,
21,0.354,418.5,1.858,,
22,0.360,486.6,1.731,,
23,0.358,545.7,1.741,,
24,0.347,599.2,1.787,,
25,0.361,408.6,1.811,,
26,0.277,367.2,1.715,,
27,0.364,471.4,1.772,,
28,0.346,491.3,1.699,,
29,0.362,419.4,1.730,,
30,0.347,484.7,1.720,,
31,0.363,511.9,1.666,,
32,0.348,562.6,1.772,,
33,0.357,414.0,1.792,,
34,0.348,475.9,1.838,,
35,0.367,531.5,1.828,,
36,0.352,607.0,1.671,,
37,0.359,442.3,1.783,,
38,0.346,467.7,1.787,,
39,0.363,509.7,1.788,,
40,0.352,582.3,1.721,,
CHK2,0.518,629.2,2.086,,
41,0.340,455.4,1.860,,
42,0.357,473.2,1.862,,
43,0.355,521.6,1.895,,
44,0.358,529.6,1.937,,
45,0.361,431.5,1.854,,
46,0.361,463.4,1.912,,
47,0.348,517.9,1.895,,
48,0.366,602.1,1.796,,
49,0.360,414.0,1.915,,
50,0.366,422.4,1.777,,
51,0.349,452.6,1.920,,
52,0.365,463.0,1.926,,
53,0.361,414.1,1.847,,
54,0.366,461.6,1.882,,
55,0.347,484.2,1.917,,
56,0.363,503.1,1.781,,
57,0.348,425.2,1.782,,
58,0.360,476.2,1.927,,
59,0.349,494.5,1.904,,
60,0.367,541.2,1.853,,
CHK3,0.515,642.6,2.127,,
61,0.363,424.6,1.951,,
62,0.356,485.9,1.898,,
63,0.366,514.5,1.800,,
64,0.354,553.7,1.871,,
65,0.369,459.1,1.856,,
66,0.347,475.7,1.923,,
67,0.362,502.1,1.891,,
68,0.352,507.2,1.946,,
69,0.360,411.2,1.907,,
70,0.347,453.6,1.894,,
71,0.368,526.0,1.966,,
72,0.349,510.6,1.856,,
73,0.361,434.3,1.727,,
74,0.361,441.2,1.903,,
75,0.366,430.5,1.997,,
76,0.351,441.9,1.741,,
77,0.360,421.5,1.914,,
78,0.345,437.7,2.027,,
79,0.365,476.0,1.819,,
80,0.358,511.9,1.757,,
CHK4,0.479,561.3,1.860,,
81,0.354,432.7,1.888,,
82,0.362,459.2,1.787,,
83,0.372,513.7,1.775,,
84,0.369,541.5,1.647,,
85,0.352,432.6,1.650,,
86,0.368,468.2,1.768,,
87,0.350,531.4,1.739,,
88,0.372,573.6,1.751,,
89,0.351,420.7,1.737,,
90,0.370,481.3,1.823,,
91,0.352,492.7,1.924,,
92,0.373,526.9,1.717,,
93,0.345,410.9,1.851,,
94,0.370,468.6,1.703,,
95,0.374,513.4,1.720,,
96,0.371,512.3,1.831,,
97,0.358,444.8,1.851,,
98,0.366,470.2,1.840,,
99,0.364,546.0,1.897,,
100,0.374,618.8,1.820,,
CHK5,0.467,548.6,1.832,,
101,0.366,414.2,1.786,,
102,0.365,468.7,1.961,,
103,0.367,453.0,1.910,,
104,0.357,484.9,1.923,,
105,0.367,436.7,1.921,,
106,0.354,463.9,1.934,,
107,0.366,427.5,2.047,,
108,0.367,401.4,2.003,,
109,0.367,411.4,2.074,,
110,0.368,459.2,2.036,,
111,0.374,507.0,2.036,,
112,0.366,533.1,1.980,,
113,0.364,403.0,1.959,,
114,0.365,458.8,1.942,,
115,0.377,434.3,1.965,,
116,0.369,405.0,1.968,,
117,0.360,408.0,1.964,,
118,0.359,461.6,1.833,,
119,0.365,423.8,1.899,,
120,0.357,444.8,1.859,,
CHK6,0.486,540.7,1.887,,
121,0.355,486.2,1.956,,
122,0.365,534.2,1.878,,
123,0.351,491.3,1.890,,
124,0.368,528.3,1.950,,
125,0.353,436.8,1.843,,
126,0.373,484.3,1.893,,
127,0.381,550.1,1.891,,
128,0.397,552.3,1.840,,
129,0.349,432.2,1.968,,
130,0.367,465.7,2.011,,
131,0.365,485.9,1.856,,
132,0.371,518.0,1.910,,
133,0.360,483.9,1.916,,
134,0.362,483.4,1.821,,
135,0.356,527.4,1.873,,
136,0.375,559.9,1.852,,
137,0.359,418.0,1.820,,
138,0.367,438.3,1.851,,
139,0.370,490.1,1.863,,
140,0.373,531.7,1.743,,
CHK7,0.487,550.9,1.773,,
141,0.366,421.4,1.819,,
142,0.361,463.1,1.846,,
143,0.385,510.6,1.801,,
144,0.373,548.5,1.819,,
145,0.364,413.7,1.833,,
146,0.352,445.5,1.793,,
