CIMMYT 2015 Series 26,,,,,,,,,,,,,,,,
time entered by: IT 128/2015,,,,,,,Comments: Vial #s not included on sampling sheet. 3 temperatures were averaged and average was entered for entire page.,,,,,,,,,
time checked by: ,,,,,,,,,,,,,,,,
sample date: 3/2/2015,,,,,,Chamber,Chamber,Chamber,Chamber,,,,,,,
Trmt,Rep,T0-T3,Chamber,Vial #,Lid type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
101F,1,0,,,X,,15.5,15.5,15.5,15.66,0,0,0,0.0,0.0,
101F,1,1,,,X,,15.5,15.5,15.5,15.66,0,10,0,10.0,10.0,
101F,1,2,,,X,,15.5,15.5,15.5,15.66,0,20,0,20.0,20.0,
101F,1,3,,,X,,15.5,15.5,15.5,15.66,0,30,0,30.0,30.0,
101B,1,0,,,X,,16.5,14,16,15.66,0,0,20,0.3,0.0,
101B,1,1,,,X,,16.5,14,16,15.66,0,10,20,10.3,10.0,
101B,1,2,,,X,,16.5,14,16,15.66,0,20,20,20.3,20.0,
101B,1,3,,,X,,16.5,14,16,15.66,0,30,20,30.3,30.0,
108F,1,0,,,X,,17,15,15,15.66,0,0,50,0.8,0.0,
108F,1,1,,,X,,17,15,15,15.66,0,10,50,10.8,10.0,
108F,1,2,,,X,,17,15,15,15.66,0,20,50,20.8,20.0,
108F,1,3,,,X,,17,15,15,15.66,0,30,50,30.8,30.0,
108B,1,0,,,X,,17,16,15,15.66,0,1,15,1.3,0.0,
108B,1,1,,,X,,17,16,15,15.66,0,11,15,11.3,10.0,
108B,1,2,,,X,,17,16,15,15.66,0,21,15,21.3,20.0,
108B,1,3,,,X,,17,16,15,15.66,0,31,15,31.3,30.0,
107F,1,0,,,X,,16.5,16,16,15.66,0,1,50,1.8,0.0,
107F,1,1,,,X,,16.5,16,16,15.66,0,11,50,11.8,10.0,
107F,1,2,,,X,,16.5,16,16,15.66,0,21,50,21.8,20.0,
107F,1,3,,,X,,16.5,16,16,15.66,0,31,50,31.8,30.0,
107B,1,0,,,X,,17,15,15,15.66,0,2,15,2.3,0.0,
107B,1,1,,,X,,17,15,15,15.66,0,12,15,12.3,10.0,
107B,1,2,,,X,,17,15,15,15.66,0,22,15,22.3,20.0,
107B,1,3,,,X,,17,15,15,15.66,0,32,15,32.3,30.0,
103F,4,0,,,X,,15,15,15,15.66,0,2,50,2.8,0.0,
103F,4,1,,,X,,15,15,15,15.66,0,12,50,12.8,10.0,
103F,4,2,,,X,,15,15,15,15.66,0,22,50,22.8,20.0,
103F,4,3,,,X,,15,15,15,15.66,0,32,50,32.8,30.0,
103B,4,0,,,X,,17.5,14,15,15.66,0,3,15,3.3,0.0,
103B,4,1,,,X,,17.5,14,15,15.66,0,13,15,13.3,10.0,
103B,4,2,,,X,,17.5,14,15,15.66,0,23,15,23.3,20.0,
103B,4,3,,,X,,17.5,14,15,15.66,0,33,15,33.3,30.0,
105F,4,0,,,X,,17,14,14,15.66,0,3,50,3.8,0.0,
