LTER 2007 Fert 4,,,,Notes: ,"10F-Schmidt plot added to template, 6/12/2007",,,,,,,,,N2O run by,,,CH4 run by,,,CO2 run by,,
time entered by:,,6/14/2007  AWC,,,,,,,,,,,,N2O entered by,,,CH4 entered by,,,CO2 entered by,,
time checked by: ,,6/18/2007 CTH,,,,,,,,,,,,N2O checked by,,,CH4 checked by,,,CO2 checked by,,
sample date: 6/13/2007,,,,,Box,Box,Box,Box,,,,,,,,,,,,,,
Trmt,Fert,T0-T3,Vial #,Lid type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,N2O peak area,Notes,Actual time,CH4 peak area,Notes,Actual time,CO2 peak area,Notes
DF1,0,0,137,A,17.5,17.5,17.5,18.5,16.5,0,0,0,0.0,0.0,,-,0.0,,-,0.0,,-
DF1,0,1,138,A,17.5,17.5,17.5,18.5,16.5,0,52,41,52.7,52.7,,-,52.7,,-,52.7,,-
DF1,0,2,139,A,17.5,17.5,17.5,18.5,16.5,1,30,0,90.0,90.0,,-,90.0,,-,90.0,,-
DF1,0,3,140,A,17.5,17.5,17.5,18.5,16.5,2,15,0,135.0,135.0,,-,135.0,,-,135.0,,-
DF1,1F,0,144,A,19,19,19,17,16.5,0,2,43,2.7,0.0,,-,0.0,,-,0.0,,-
DF1,1F,1,142,A,19,19,19,17,16.5,0,53,57,54.0,51.2,,-,51.2,,-,51.2,,-
DF1,1F,2,143,A,19,19,19,17,16.5,1,31,4,91.1,88.4,,-,88.4,,-,88.4,,-
DF1,1F,3,141,A,19,19,19,17,16.5,2,16,12,136.2,133.5,,-,133.5,,-,133.5,,-
DF1,3F,0,148,C,13.5,16,16.5,14.5,16,0,5,11,5.2,0.0,,-,0.0,,-,0.0,,-
DF1,3F,1,146,C,13.5,16,16.5,14.5,16,0,55,7,55.1,49.9,,-,49.9,,-,49.9,,-
DF1,3F,2,147,C,13.5,16,16.5,14.5,16,1,31,49,91.8,86.6,,-,86.6,,-,86.6,,-
DF1,3F,3,145,C,13.5,16,16.5,14.5,16,2,17,0,137.0,131.8,,-,131.8,,-,131.8,,-
