GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G1,1,0,,1,1,Y,18,17.5,18,17,8,0,0,0,0.0,0.0,-
G1,1,1,,1,2,Y,18,17.5,18,17,8,0,18,0,18.0,18.0,-
G1,1,2,,1,3,Y,18,17.5,18,17,8,0,36,0,36.0,36.0,-
G1,1,3,,1,4,Y,18,17.5,18,17,8,0,54,0,54.0,54.0,-
G5,1,0,,1,5,Y,16,16.5,16,15,8,0,2,10,2.2,0.0,-
G5,1,1,,1,6,Y,16,16.5,16,15,8,0,20,0,20.0,17.8,-
G5,1,2,,1,7,Y,16,16.5,16,15,8,0,37,53,37.9,35.7,-
G5,1,3,,1,8,Y,16,16.5,16,15,8,0,56,3,56.1,53.9,-
G6,1,0,,1,9,Y,18.5,19,18.5,18.5,8,0,4,49,4.8,0.0,-
G6,1,1,,1,10,Y,18.5,19,18.5,18.5,8,0,22,8,22.1,17.3,-
G6,1,2,,1,11,Y,18.5,19,18.5,18.5,8,0,40,36,40.6,35.8,-
G6,1,3,,1,12,Y,18.5,19,18.5,18.5,8,0,58,40,58.7,53.9,-
G8,1,0,,1,13,Y,18,18,19,20,8,0,7,0,7.0,0.0,-
G8,1,1,,1,14,Y,18,18,19,20,8,0,24,39,24.7,17.7,-
G8,1,2,,1,15,Y,18,18,19,20,8,0,42,15,42.3,35.3,-
G8,1,3,,1,16,Y,18,18,19,20,8,1,0,49,60.8,53.8,-
G10,1,0,,1,17,Y,15,16,16,17,8,0,9,14,9.2,0.0,-
G10,1,1,,1,18,Y,15,16,16,17,8,0,27,7,27.1,17.9,-
G10,1,2,,1,19,Y,15,16,16,17,8,0,45,0,45.0,35.8,-
G10,1,3,,1,20,Y,15,16,16,17,8,1,3,22,63.4,54.1,-
G3,1,0,,1,21,Y,19.5,18,19,19.5,8,0,0,0,0.0,0.0,-
G3,1,1,,1,22,Y,19.5,18,19,19.5,8,0,18,0,18.0,18.0,-
